userId,movieId,rating,timestamp
563,80858,3.5,1441845757
241,5970,4.0,1447540216
191,282,3.0,829760898
488,26,2.5,1112382126
381,51698,3.5,1175821154
260,3424,4.5,1109411083
474,8128,3.5,1189990846
247,54286,3.5,1467644268
560,48516,4.0,1469650026
301,454,4.0,1211378304
414,36,3.0,961516989
291,60069,5.0,1453051715
438,5401,3.5,1105654160
610,162350,3.5,1493849971
28,4874,3.0,1277001932
220,2716,5.0,1230059742
448,91628,2.0,1394377404
318,94777,3.5,1361571823
202,3793,5.0,974918744
577,2145,3.0,945978520
290,1224,4.0,974938560
216,1273,3.0,975212571
443,593,3.5,1420236772
135,1584,3.0,1009691695
274,2083,3.0,1171829585
516,4333,4.0,994625250
436,2,4.0,833529751
91,1805,3.0,1112716793
368,161,4.0,971274866
249,76175,3.0,1347887171
239,5903,5.0,1221159461
23,32,3.5,1107341750
433,1089,4.0,1506823959
474,4963,4.0,1046871225
474,104,2.0,978576279
105,79333,4.0,1447574436
564,69406,5.0,1478451902
563,115667,3.5,1448058565
198,1200,3.0,1039797013
282,2194,4.5,1378498169
448,3173,3.0,1019139010
397,1104,4.5,1181966593
534,2953,3.5,1459787996
599,7894,2.5,1498516106
610,97921,4.5,1493845228
599,77455,3.5,1498542480
535,2583,3.0,939029507
95,8636,4.5,1105401213
520,4995,4.0,1326609426
414,2313,4.0,961517212
294,1591,1.0,966634305
37,150,5.0,845239388
561,1918,3.0,1491091460
495,5254,3.5,1458636268
182,1289,3.0,1054781360
608,2335,2.5,1117505193
352,71156,3.0,1493674972
234,3877,2.0,1004408741
474,41527,4.0,1144882716
288,1179,3.0,976121042
474,2987,4.0,1004131358
599,1374,3.0,1498521493
610,68791,3.0,1493846130
610,5329,3.5,1493849209
483,64957,4.0,1291838765
354,2949,3.5,1200865477
260,4034,4.0,1109410886
234,2142,3.0,1004409503
292,85131,3.5,1421974540
562,6242,3.5,1368892935
294,2110,2.0,966597566
275,461,1.0,1049078900
279,69640,3.0,1506395808
292,1396,3.5,1293562991
412,2918,4.0,939114074
438,44972,1.5,1146924225
162,272,5.0,836511416
446,356,3.0,843839191
274,53468,3.0,1202462680
131,6947,3.5,1349838662
480,6873,2.0,1179165179
68,45501,3.5,1267239173
171,1089,5.0,866905820
610,1394,5.0,1479544403
586,2,4.0,1529901723
318,1173,3.5,1424164687
70,69757,4.0,1355185504
603,1351,2.0,963180176
474,7900,3.0,1084365728
26,296,4.0,836950245
270,36,5.0,853918793
599,4148,2.5,1498516336
282,1136,5.0,1378490033
599,2092,1.0,1519122223
57,2804,4.0,965796211
133,300,3.0,843491793
608,3355,3.5,1117506882
28,61210,3.5,1234850150
240,333,5.0,849122575
554,1207,5.0,944901745
249,43919,1.0,1346758396
80,8361,4.0,1377309066
294,312,1.0,966596828
317,608,5.0,1430361529
328,317,2.0,1494210813
369,2863,2.5,1236830503
474,2208,4.0,1053020865
182,543,3.5,1054779684
474,2634,3.0,1066055050
600,2089,3.0,1237760505
275,1247,5.0,1049079254
368,1645,3.0,975828061
428,4228,2.0,1111624186
418,137337,4.0,1461867778
606,1284,3.0,1171821773
149,1270,2.0,902084836
462,34528,4.0,1123917109
24,1704,4.0,1458941929
380,1588,3.0,1494278916
212,3868,4.5,1527795827
479,3098,4.0,1039362056
606,2020,4.0,1171327782
165,110,4.0,1046741213
377,344,3.0,1340342723
241,68157,4.5,1447536915
520,1831,3.0,1326687509
19,543,3.0,965706232
414,3861,4.0,968165184
567,2138,4.5,1525283741
177,3990,2.5,1435837473
23,7932,3.0,1107341862
338,177593,5.0,1530148460
294,3534,3.0,966595374
522,356,3.5,1253344654
103,5816,2.5,1431957518
538,1242,2.5,1307845480
91,374,1.0,1112716895
380,135143,4.0,1493473809
226,231,5.0,1095662679
453,3301,2.0,972621539
414,72,4.0,961438532
288,4010,2.0,975692683
177,500,5.0,1435890500
